,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
337,        New Jersey (People),1884000,1889000,1917000,1969000,2050000,2151000,2239000,2314000.0,2403000.0,2487000.0,2550000.0,2610000.0,2670000.0,2729000.0,2789000.0,2850000.0,2918000.0,2976000.0,3043000.0,3136000.0,3198000.0,3297000.0,3380000.0,3472000.0,3573000.0,3664000.0,3758000.0,3891000.0,3968000.0,3989000.0,4068000.0,4120000.0,4120000.0,4107000.0,4089000.0,4085000.0,4084000.0,4088000.0,4100000.0,4129000.0,4175000.0,4254000.0,4297000.0,4226000.0,4158000.0,4108000.0,4492000.0,4618000.0,4774000.0,4889000.0,4872000.0,5006000.0,5125000.0,5229000.0,5360000.0,5502000.0,5615000.0,5737000.0,5890000.0,6015000.0,6103000.0,6265000.0,6376000.0,6531000.0,6660000.0,6767000.0,6851000.0,6928000.0,7005000.0,7095000.0,7171112.0,7281107.0,7335042.0,7333083.0,7332411.0,7337765.0,7339745.0,7337169.0,7350804.0,7366512.0,7364823.0,7407472.0,7430968.0,7467785.0,7515473.0,7565528.0,7622159.0,7670742.0,7712333.0,7726089.0,7762963.0,7814676.0,7880508.0,7948915.0,8014306.0,8083242.0,8149596.0,8218808.0,8287418.0,8359592.0,8430621.0,8492671.0,8552643.0,8601402.0,8634561.0,8651974.0,8661679.0,8677885.0,8711090.0,8755602.0,8799451.0,8828552.0,8845671.0,8857821.0,8867277.0,8870312.0,8873584.0,8888147.0,8891730.0,8891258.0,8882371.0,
338,        New Mexico (People),196000,206000,218000,229000,242000,255000,269000,283000.0,298000.0,314000.0,329000.0,334000.0,338000.0,344000.0,348000.0,351000.0,354000.0,361000.0,382000.0,362000.0,363000.0,370000.0,375000.0,382000.0,390000.0,396000.0,403000.0,410000.0,416000.0,420000.0,427000.0,436000.0,441000.0,449000.0,461000.0,475000.0,489000.0,503000.0,513000.0,523000.0,531000.0,506000.0,502000.0,534000.0,527000.0,537000.0,561000.0,582000.0,604000.0,644000.0,689000.0,717000.0,735000.0,756000.0,763000.0,785000.0,806000.0,847000.0,886000.0,919000.0,954000.0,965000.0,979000.0,989000.0,1006000.0,1012000.0,1007000.0,1000000.0,994000.0,1011000.0,1017055.0,1053737.0,1078697.0,1105529.0,1131309.0,1159944.0,1189295.0,1215720.0,1238034.0,1284722.0,1302894.0,1332748.0,1363823.0,1394361.0,1416717.0,1438361.0,1462729.0,1478520.0,1490337.0,1503901.0,1521574.0,1555305.0,1595442.0,1636453.0,1682398.0,1720394.0,1752326.0,1774839.0,1793484.0,1808082.0,1821204.0,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,2064614.0,2080707.0,2087715.0,2092833.0,2090236.0,2090071.0,2092555.0,2092844.0,2093754.0,2099634.0,2106319.0,
339,        New York (People),7283000,7449000,7612000,7771000,7927000,8084000,8289000,8499000.0,8714000.0,8935000.0,9137000.0,9249000.0,9361000.0,9473000.0,9585000.0,9700000.0,9848000.0,9993000.0,9936000.0,10252000.0,10282000.0,10416000.0,10589000.0,10752000.0,10953000.0,11186000.0,11257000.0,11174000.0,11599000.0,12171000.0,12647000.0,12848000.0,13001000.0,13126000.0,13253000.0,13375000.0,13481000.0,13511000.0,13512000.0,13523000.0,13456000.0,13267000.0,13002000.0,12807000.0,12628000.0,12495000.0,13398000.0,13982000.0,14497000.0,14892000.0,14865000.0,14890000.0,15192000.0,15527000.0,15814000.0,15966000.0,16112000.0,16374000.0,16601000.0,16685000.0,16838000.0,17061000.0,17301000.0,17461000.0,17589000.0,17734000.0,17843000.0,17935000.0,18051000.0,18105000.0,18241391.0,18357982.0,18339400.0,18177063.0,18049775.0,18003485.0,17940541.0,17812602.0,17680589.0,17583838.0,17558072.0,17567734.0,17589738.0,17686905.0,17745684.0,17791672.0,17833419.0,17868848.0,17941309.0,17983086.0,18020784.0,18122510.0,18246653.0,18374954.0,18459470.0,18524104.0,18588460.0,18656546.0,18755906.0,18882725.0,19001780.0,19082838.0,19137800.0,19175939.0,19171567.0,19132610.0,19104631.0,19132335.0,19212436.0,19307066.0,19399956.0,19499921.0,19574362.0,19626488.0,19653431.0,19657321.0,19636391.0,19593849.0,19544098.0,19463131.0,19336776.0,
340,        North Carolina (People),1897000,1926000,1956000,1986000,2017000,2051000,2077000,2105000.0,2142000.0,2174000.0,2221000.0,2276000.0,2313000.0,2362000.0,2421000.0,2473000.0,2513000.0,2546000.0,2522000.0,2535000.0,2588000.0,2651000.0,2700000.0,2761000.0,2830000.0,2895000.0,2959000.0,3027000.0,3082000.0,3133000.0,3167000.0,3184000.0,3227000.0,3268000.0,3304000.0,3323000.0,3346000.0,3385000.0,3440000.0,3514000.0,3574000.0,3589000.0,3569000.0,3654000.0,3560000.0,3533000.0,3706000.0,3769000.0,3837000.0,3911000.0,4068000.0,4120000.0,4109000.0,4120000.0,4131000.0,4242000.0,4309000.0,4368000.0,4376000.0,4458000.0,4573000.0,4663000.0,4707000.0,4742000.0,4802000.0,4863000.0,4896000.0,4952000.0,5004000.0,5031000.0,5084411.0,5203531.0,5301150.0,5389852.0,5470911.0,5547188.0,5607964.0,5685607.0,5759492.0,5823491.0,5881766.0,5956653.0,6019101.0,6077056.0,6164006.0,6253954.0,6321578.0,6403700.0,6480594.0,6565459.0,6664016.0,6784280.0,6897214.0,7042818.0,7187398.0,7344674.0,7500670.0,7656825.0,7809121.0,7949361.0,8081614.0,8210122.0,8326201.0,8422501.0,8553152.0,8705407.0,8917270.0,9118037.0,9309449.0,9449566.0,9574586.0,9658913.0,9751810.0,9846717.0,9937295.0,10037218.0,10161802.0,10275758.0,10391358.0,10501384.0,10600823.0,
341,        North Dakota (People),321000,346000,371000,396000,421000,446000,474000,501000.0,528000.0,555000.0,580000.0,584000.0,603000.0,609000.0,620000.0,641000.0,652000.0,661000.0,636000.0,648000.0,646000.0,646000.0,647000.0,648000.0,642000.0,643000.0,651000.0,657000.0,665000.0,674000.0,682000.0,680000.0,676000.0,674000.0,672000.0,670000.0,664000.0,655000.0,647000.0,644000.0,640000.0,615000.0,583000.0,546000.0,534000.0,546000.0,570000.0,578000.0,580000.0,597000.0,619000.0,604000.0,608000.0,609000.0,611000.0,615000.0,613000.0,612000.0,606000.0,618000.0,634000.0,641000.0,637000.0,644000.0,649000.0,649000.0,647000.0,626000.0,621000.0,621000.0,617792.0,626760.0,631119.0,632675.0,634559.0,638886.0,645797.0,649769.0,651301.0,652896.0,652717.0,659505.0,668972.0,676688.0,680497.0,676980.0,669512.0,661136.0,655331.0,646351.0,637685.0,635753.0,638223.0,641216.0,644804.0,647832.0,650382.0,649716.0,647532.0,644259.0,642023.0,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,674752.0,685526.0,702227.0,723149.0,738736.0,755537.0,756114.0,756755.0,760062.0,763724.0,765309.0,
342,        Ohio (People),4161000,4216000,4322000,4386000,4458000,4530000,4587000,4630000.0,4677000.0,4701000.0,4786000.0,4821000.0,4893000.0,4997000.0,5109000.0,5251000.0,5366000.0,5510000.0,5547000.0,5683000.0,5799000.0,5921000.0,6054000.0,6183000.0,6319000.0,6434000.0,6504000.0,6577000.0,6608000.0,6626000.0,6662000.0,6694000.0,6717000.0,6740000.0,6751000.0,6787000.0,6801000.0,6809000.0,6837000.0,6886000.0,6929000.0,6958000.0,6969000.0,6868000.0,6918000.0,6916000.0,7512000.0,7705000.0,7876000.0,7973000.0,7980000.0,8061000.0,8275000.0,8591000.0,8873000.0,9017000.0,9207000.0,9410000.0,9599000.0,9671000.0,9734000.0,9854000.0,9929000.0,9986000.0,10080000.0,10201000.0,10330000.0,10414000.0,10516000.0,10563000.0,10657423.0,10734818.0,10746993.0,10767314.0,10765759.0,10770425.0,10752662.0,10771394.0,10795581.0,10798298.0,10797630.0,10788330.0,10757087.0,10737632.0,10737746.0,10734926.0,10730268.0,10760090.0,10798552.0,10829217.0,10864162.0,10945762.0,11029431.0,11101140.0,11152454.0,11202751.0,11242827.0,11277357.0,11311536.0,11335454.0,11363543.0,11387404.0,11407889.0,11434788.0,11452251.0,11463320.0,11481213.0,11500468.0,11515391.0,11528896.0,11539449.0,11545735.0,11550971.0,11579692.0,11606573.0,11622315.0,11640060.0,11665706.0,11680892.0,11696507.0,11693217.0,
343,        Oklahoma (People),800000,916000,1027000,1118000,1200000,1277000,1349000,1414000.0,1498000.0,1585000.0,1671000.0,1714000.0,1737000.0,1777000.0,1824000.0,1860000.0,1907000.0,1960000.0,1969000.0,2003000.0,2055000.0,2108000.0,2140000.0,2159000.0,2179000.0,2216000.0,2256000.0,2306000.0,2344000.0,2372000.0,2401000.0,2403000.0,2394000.0,2392000.0,2391000.0,2386000.0,2365000.0,2334000.0,2324000.0,2333000.0,2325000.0,2262000.0,2215000.0,2205000.0,2043000.0,2028000.0,2128000.0,2133000.0,2089000.0,2105000.0,2229000.0,2210000.0,2219000.0,2182000.0,2209000.0,2250000.0,2273000.0,2282000.0,2267000.0,2289000.0,2336000.0,2380000.0,2427000.0,2439000.0,2446000.0,2440000.0,2454000.0,2489000.0,2503000.0,2535000.0,2559463.0,2618601.0,2658646.0,2695931.0,2734768.0,2774683.0,2826815.0,2870014.0,2917336.0,2975310.0,3025290.0,3096164.0,3206123.0,3290402.0,3285533.0,3271332.0,3252735.0,3210122.0,3167057.0,3150307.0,3148825.0,3175440.0,3220517.0,3252285.0,3280940.0,3308208.0,3340129.0,3372917.0,3405194.0,3437147.0,3454365.0,3467100.0,3489080.0,3504892.0,3525233.0,3548597.0,3594090.0,3634349.0,3668976.0,3717572.0,3760014.0,3788824.0,3819320.0,3853891.0,3879187.0,3910518.0,3928143.0,3933602.0,3943488.0,3960676.0,3980783.0,
344,        Oregon (People),415000,434000,454000,479000,504000,530000,555000,580000.0,610000.0,643000.0,677000.0,692000.0,706000.0,722000.0,736000.0,745000.0,756000.0,763000.0,763000.0,774000.0,788000.0,798000.0,814000.0,833000.0,856000.0,883000.0,905000.0,925000.0,936000.0,947000.0,956000.0,966000.0,972000.0,978000.0,985000.0,1001000.0,1025000.0,1048000.0,1067000.0,1081000.0,1086000.0,1071000.0,1107000.0,1221000.0,1233000.0,1250000.0,1338000.0,1361000.0,1405000.0,1431000.0,1532000.0,1556000.0,1582000.0,1601000.0,1626000.0,1659000.0,1698000.0,1712000.0,1718000.0,1746000.0,1772000.0,1787000.0,1818000.0,1853000.0,1888000.0,1937000.0,1969000.0,1979000.0,2004000.0,2062000.0,2091533.0,2151022.0,2197297.0,2241932.0,2285013.0,2329661.0,2378262.0,2446673.0,2518298.0,2588012.0,2633105.0,2667982.0,2664922.0,2653066.0,2666588.0,2672652.0,2683528.0,2700991.0,2741297.0,2790575.0,2860375.0,2928507.0,2991755.0,3060367.0,3121264.0,3184369.0,3247111.0,3304310.0,3352449.0,3393941.0,3429708.0,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,3837614.0,3872672.0,3900102.0,3924110.0,3965447.0,4018542.0,4093271.0,4147294.0,4183538.0,4216116.0,4241507.0,
345,        Pennsylvania (People),6313000,6439000,6567000,6699000,6833000,6970000,7110000,7253000.0,7398000.0,7546000.0,7706000.0,7850000.0,7986000.0,8139000.0,8276000.0,8362000.0,8463000.0,8578000.0,8524000.0,8643000.0,8740000.0,8900000.0,8982000.0,9148000.0,9383000.0,9478000.0,9594000.0,9745000.0,9802000.0,9723000.0,9649000.0,9707000.0,9764000.0,9784000.0,9795000.0,9774000.0,9767000.0,9790000.0,9952000.0,9901000.0,9896000.0,9911000.0,9704000.0,9444000.0,9214000.0,9143000.0,9866000.0,10196000.0,10287000.0,10390000.0,10507000.0,10461000.0,10503000.0,10662000.0,10817000.0,10939000.0,10972000.0,10954000.0,11058000.0,11234000.0,11329000.0,11392000.0,11355000.0,11424000.0,11519000.0,11620000.0,11664000.0,11681000.0,11741000.0,11741000.0,11800766.0,11886400.0,11908233.0,11890527.0,11870884.0,11906095.0,11897378.0,11893591.0,11879396.0,11887975.0,11863895.0,11858567.0,11845146.0,11837723.0,11815172.0,11770862.0,11782752.0,11810866.0,11845752.0,11865996.0,11903299.0,11982164.0,12049450.0,12119724.0,12166050.0,12198403.0,12220464.0,12227814.0,12245672.0,12263805.0,12284173.0,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,12711406.0,12747052.0,12769123.0,12779538.0,12792392.0,12789838.0,12788468.0,12794679.0,12809107.0,12798883.0,12783254.0,
346,        Rhode Island (People),430000,441000,450000,460000,471000,481000,492000,505000.0,519000.0,532000.0,545000.0,556000.0,567000.0,578000.0,589000.0,597000.0,598000.0,606000.0,604000.0,603000.0,613000.0,629000.0,644000.0,656000.0,669000.0,680000.0,681000.0,677000.0,678000.0,684000.0,686000.0,681000.0,677000.0,675000.0,675000.0,678000.0,686000.0,694000.0,694000.0,701000.0,719000.0,731000.0,748000.0,760000.0,795000.0,776000.0,770000.0,776000.0,787000.0,801000.0,786000.0,784000.0,802000.0,815000.0,816000.0,823000.0,840000.0,851000.0,858000.0,857000.0,855000.0,858000.0,871000.0,876000.0,885000.0,893000.0,899000.0,909000.0,922000.0,932000.0,949723.0,963107.0,974790.0,975738.0,950615.0,942788.0,946089.0,950230.0,951816.0,950382.0,947154.0,953013.0,954170.0,956382.0,961894.0,968955.0,977341.0,989604.0,996408.0,1000666.0,1005995.0,1010649.0,1012581.0,1015112.0,1015960.0,1017002.0,1020893.0,1025353.0,1031155.0,1040402.0,1050268.0,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,1053994.0,1053829.0,1054893.0,1055560.0,1056511.0,1056886.0,1057816.0,1056554.0,1059338.0,1058158.0,1057125.0,
347,        South Carolina (People),1342000,1361000,1379000,1397000,1415000,1433000,1451000,1468000.0,1485000.0,1502000.0,1523000.0,1548000.0,1572000.0,1599000.0,1622000.0,1635000.0,1650000.0,1675000.0,1746000.0,1687000.0,1685000.0,1693000.0,1692000.0,1699000.0,1710000.0,1718000.0,1726000.0,1736000.0,1739000.0,1739000.0,1745000.0,1753000.0,1748000.0,1752000.0,1760000.0,1769000.0,1781000.0,1802000.0,1834000.0,1872000.0,1902000.0,1962000.0,2007000.0,1967000.0,1943000.0,1934000.0,1936000.0,1992000.0,1996000.0,2029000.0,2113000.0,2167000.0,2178000.0,2181000.0,2176000.0,2200000.0,2229000.0,2274000.0,2304000.0,2348000.0,2392000.0,2409000.0,2423000.0,2460000.0,2475000.0,2494000.0,2520000.0,2533000.0,2559000.0,2570000.0,2590713.0,2662269.0,2719197.0,2776605.0,2844749.0,2902028.0,2943657.0,2991681.0,3044364.0,3090267.0,3121820.0,3179255.0,3207614.0,3234066.0,3271868.0,3303209.0,3342758.0,3380506.0,3412096.0,3456775.0,3501155.0,3570404.0,3620464.0,3663314.0,3705397.0,3748582.0,3796200.0,3859696.0,3919235.0,3974682.0,4024223.0,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,4635846.0,4672655.0,4719027.0,4766469.0,4826858.0,4896006.0,4963031.0,5027102.0,5091702.0,5157702.0,5218040.0,
348,        South Dakota (People),403000,418000,431000,437000,452000,461000,477000,498000.0,527000.0,553000.0,590000.0,602000.0,592000.0,584000.0,581000.0,585000.0,595000.0,599000.0,570000.0,606000.0,640000.0,652000.0,660000.0,669000.0,673000.0,682000.0,683000.0,682000.0,685000.0,690000.0,693000.0,694000.0,692000.0,690000.0,682000.0,674000.0,666000.0,656000.0,649000.0,645000.0,641000.0,613000.0,589000.0,587000.0,565000.0,579000.0,588000.0,601000.0,612000.0,631000.0,655000.0,655000.0,651000.0,648000.0,655000.0,663000.0,670000.0,666000.0,656000.0,667000.0,683000.0,693000.0,705000.0,708000.0,701000.0,692000.0,683000.0,671000.0,669000.0,668000.0,666257.0,671297.0,677234.0,678715.0,679585.0,681042.0,686390.0,688480.0,688580.0,688335.0,690768.0,689584.0,690597.0,693008.0,697249.0,698402.0,696034.0,696036.0,698165.0,696701.0,697101.0,703669.0,712801.0,722159.0,730790.0,737925.0,742213.0,744223.0,746058.0,750412.0,755844.0,757972.0,760020.0,763729.0,770396.0,775493.0,783033.0,791623.0,799124.0,807067.0,816193.0,823740.0,833859.0,842751.0,849670.0,854663.0,863693.0,873732.0,879386.0,887127.0,892717.0,
349,        Tennessee (People),2023000,2041000,2060000,2082000,2086000,2111000,2136000,2136000.0,2164000.0,2177000.0,2191000.0,2197000.0,2218000.0,2257000.0,2289000.0,2294000.0,2304000.0,2331000.0,2288000.0,2305000.0,2329000.0,2369000.0,2424000.0,2463000.0,2502000.0,2531000.0,2553000.0,2608000.0,2624000.0,2604000.0,2619000.0,2657000.0,2711000.0,2747000.0,2784000.0,2798000.0,2791000.0,2795000.0,2821000.0,2874000.0,2935000.0,2973000.0,2939000.0,2972000.0,2868000.0,2878000.0,3074000.0,3166000.0,3216000.0,3236000.0,3315000.0,3372000.0,3352000.0,3319000.0,3359000.0,3415000.0,3415000.0,3434000.0,3471000.0,3522000.0,3575000.0,3622000.0,3673000.0,3718000.0,3771000.0,3798000.0,3822000.0,3859000.0,3878000.0,3897000.0,3926018.0,4013608.0,4094611.0,4147401.0,4213509.0,4275566.0,4346928.0,4422921.0,4486314.0,4560473.0,4591120.0,4627658.0,4646041.0,4659749.0,4686737.0,4715296.0,4738708.0,4782927.0,4822437.0,4854444.0,4894492.0,4966587.0,5049742.0,5137584.0,5231438.0,5326936.0,5416643.0,5499233.0,5570045.0,5638706.0,5703719.0,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,6355518.0,6400298.0,6455752.0,6496943.0,6544617.0,6595354.0,6651277.0,6714748.0,6778180.0,6830325.0,6886834.0,
350,        Texas (People),3055000,3132000,3210000,3291000,3374000,3459000,3546000,3636000.0,3727000.0,3821000.0,3922000.0,4016000.0,4107000.0,4207000.0,4300000.0,4368000.0,4444000.0,4563000.0,4666000.0,4631000.0,4723000.0,4853000.0,4955000.0,5077000.0,5210000.0,5332000.0,5453000.0,5577000.0,5675000.0,5762000.0,5844000.0,5907000.0,5961000.0,6014000.0,6053000.0,6123000.0,6192000.0,6250000.0,6301000.0,6360000.0,6425000.0,6585000.0,6711000.0,7012000.0,6876000.0,6826000.0,7197000.0,7388000.0,7626000.0,7623000.0,7776000.0,8111000.0,8314000.0,8336000.0,8382000.0,8660000.0,8830000.0,9070000.0,9252000.0,9405000.0,9624000.0,9820000.0,10053000.0,10159000.0,10270000.0,10378000.0,10492000.0,10599000.0,10819000.0,11045000.0,11198655.0,11509848.0,11759148.0,12019543.0,12268629.0,12568843.0,12904089.0,13193050.0,13500429.0,13888371.0,14229191.0,14746318.0,15331415.0,15751676.0,16007086.0,16272734.0,16561113.0,16621791.0,16667022.0,16806735.0,17056755.0,17398005.0,17759738.0,18161612.0,18564062.0,18958751.0,19340342.0,19740317.0,20157531.0,20558220.0,20944499.0,21319622.0,21690325.0,22030931.0,22394023.0,22778123.0,23359580.0,23831983.0,24309039.0,24801761.0,25241897.0,25645504.0,26084120.0,26479646.0,26963092.0,27468531.0,27914064.0,28291024.0,28624564.0,28986794.0,29360759.0,
351,        Utah (People),277000,284000,292000,299000,308000,316000,327000,339000.0,351000.0,363000.0,377000.0,387000.0,399000.0,410000.0,422000.0,430000.0,436000.0,444000.0,437000.0,446000.0,453000.0,457000.0,467000.0,474000.0,481000.0,487000.0,494000.0,500000.0,504000.0,508000.0,509000.0,513000.0,517000.0,520000.0,522000.0,526000.0,527000.0,529000.0,535000.0,543000.0,552000.0,551000.0,575000.0,631000.0,605000.0,591000.0,638000.0,636000.0,653000.0,671000.0,696000.0,706000.0,724000.0,739000.0,750000.0,783000.0,809000.0,826000.0,845000.0,870000.0,900000.0,936000.0,958000.0,974000.0,978000.0,994000.0,1009000.0,1019000.0,1029000.0,1047000.0,1059273.0,1101192.0,1135449.0,1170040.0,1200471.0,1236030.0,1274928.0,1319512.0,1367510.0,1420238.0,1461037.0,1515471.0,1558314.0,1594943.0,1622342.0,1642910.0,1662834.0,1678119.0,1689372.0,1705864.0,1731223.0,1779780.0,1836799.0,1898404.0,1960446.0,2014177.0,2067976.0,2119784.0,2165960.0,2203482.0,2244502.0,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,2775413.0,2814797.0,2854146.0,2898773.0,2938327.0,2983626.0,3044241.0,3103540.0,3155153.0,3203383.0,3249879.0,
352,        Vermont (People),344000,347000,349000,350000,353000,354000,355000,355000.0,354000.0,356000.0,357000.0,358000.0,359000.0,361000.0,362000.0,360000.0,360000.0,372000.0,352000.0,352000.0,353000.0,355000.0,354000.0,354000.0,355000.0,355000.0,356000.0,357000.0,358000.0,359000.0,360000.0,359000.0,358000.0,357000.0,357000.0,357000.0,357000.0,356000.0,356000.0,358000.0,363000.0,348000.0,343000.0,327000.0,314000.0,315000.0,342000.0,354000.0,359000.0,369000.0,379000.0,378000.0,375000.0,379000.0,377000.0,375000.0,377000.0,376000.0,380000.0,387000.0,389000.0,390000.0,393000.0,397000.0,399000.0,404000.0,413000.0,423000.0,430000.0,437000.0,444732.0,454318.0,463143.0,468430.0,473002.0,479713.0,484928.0,491931.0,498109.0,505372.0,511456.0,515594.0,519109.0,523302.0,526660.0,530035.0,534066.0,540267.0,549763.0,557707.0,564798.0,568606.0,572751.0,577748.0,583836.0,589002.0,593701.0,597239.0,600416.0,604683.0,609618.0,612223.0,615442.0,617858.0,619920.0,621215.0,622892.0,623481.0,624151.0,624817.0,625886.0,627197.0,626361.0,626603.0,625693.0,625810.0,624366.0,625132.0,624802.0,624046.0,623347.0,
353,        Virginia (People),1858000,1887000,1894000,1890000,1889000,1917000,1942000,1952000.0,1994000.0,2038000.0,2071000.0,2092000.0,2122000.0,2176000.0,2241000.0,2294000.0,2316000.0,2313000.0,2359000.0,2318000.0,2347000.0,2395000.0,2412000.0,2423000.0,2426000.0,2423000.0,2419000.0,2433000.0,2435000.0,2425000.0,2427000.0,2445000.0,2452000.0,2460000.0,2485000.0,2520000.0,2552000.0,2590000.0,2638000.0,2670000.0,2720000.0,2855000.0,3038000.0,3130000.0,3248000.0,3193000.0,3212000.0,3201000.0,3207000.0,3292000.0,3315000.0,3434000.0,3504000.0,3557000.0,3555000.0,3588000.0,3722000.0,3844000.0,3914000.0,3951000.0,3986000.0,4095000.0,4180000.0,4276000.0,4357000.0,4411000.0,4456000.0,4508000.0,4558000.0,4614000.0,4651448.0,4750838.0,4824472.0,4901292.0,4971069.0,5047395.0,5121863.0,5193112.0,5270240.0,5307945.0,5346818.0,5444097.0,5492783.0,5564657.0,5643870.0,5715153.0,5811700.0,5932268.0,6036909.0,6120246.0,6216884.0,6301217.0,6414307.0,6509630.0,6593139.0,6670693.0,6750884.0,6829183.0,6900918.0,7000174.0,7105817.0,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,8024004.0,8102437.0,8187456.0,8255861.0,8315430.0,8367303.0,8417651.0,8471011.0,8510920.0,8556642.0,8590563.0,
354,        Washington (People),523000,583000,651000,719000,782000,842000,904000,967000.0,1028000.0,1091000.0,1148000.0,1167000.0,1184000.0,1209000.0,1231000.0,1239000.0,1255000.0,1287000.0,1341000.0,1333000.0,1373000.0,1405000.0,1415000.0,1433000.0,1467000.0,1494000.0,1516000.0,1538000.0,1551000.0,1555000.0,1568000.0,1581000.0,1584000.0,1592000.0,1610000.0,1629000.0,1653000.0,1681000.0,1698000.0,1715000.0,1740000.0,1789000.0,1901000.0,2027000.0,2092000.0,2206000.0,2288000.0,2211000.0,2255000.0,2294000.0,2387000.0,2424000.0,2448000.0,2466000.0,2516000.0,2604000.0,2668000.0,2724000.0,2773000.0,2821000.0,2855000.0,2882000.0,2942000.0,2955000.0,2961000.0,2967000.0,3057000.0,3174000.0,3270000.0,3343000.0,3413244.0,3447553.0,3447885.0,3478782.0,3549946.0,3621339.0,3693610.0,3776050.0,3889073.0,4017632.0,4132156.0,4235731.0,4276552.0,4300266.0,4343656.0,4400098.0,4452720.0,4531901.0,4639893.0,4746316.0,4903043.0,5025624.0,5160757.0,5278842.0,5375161.0,5481027.0,5569753.0,5674747.0,5769562.0,5842564.0,5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,6743009.0,6827479.0,6898599.0,6966252.0,7057531.0,7167287.0,7299961.0,7427951.0,7526793.0,7614024.0,7693612.0,
355,        West Virginia (People),959000,972000,1000000,1037000,1064000,1094000,1122000,1149000.0,1174000.0,1203000.0,1231000.0,1266000.0,1291000.0,1317000.0,1362000.0,1387000.0,1414000.0,1439000.0,1438000.0,1464000.0,1470000.0,1485000.0,1498000.0,1526000.0,1577000.0,1593000.0,1623000.0,1671000.0,1696000.0,1717000.0,1733000.0,1740000.0,1747000.0,1752000.0,1771000.0,1794000.0,1808000.0,1813000.0,1828000.0,1868000.0,1907000.0,1885000.0,1831000.0,1741000.0,1706000.0,1708000.0,1826000.0,1883000.0,1899000.0,1930000.0,2006000.0,1984000.0,1957000.0,1929000.0,1905000.0,1880000.0,1857000.0,1843000.0,1845000.0,1855000.0,1853000.0,1828000.0,1809000.0,1796000.0,1797000.0,1786000.0,1775000.0,1769000.0,1763000.0,1746000.0,1744237.0,1770657.0,1797648.0,1806360.0,1815447.0,1842250.0,1879503.0,1908088.0,1923395.0,1942146.0,1949644.0,1954124.0,1949604.0,1945061.0,1927697.0,1906831.0,1882350.0,1857585.0,1830215.0,1806568.0,1792548.0,1798735.0,1806451.0,1817539.0,1820421.0,1823700.0,1822808.0,1819113.0,1815609.0,1811799.0,1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1854265.0,1856606.0,1857446.0,1854768.0,1850569.0,1843332.0,1832435.0,1818683.0,1805953.0,1795263.0,1784787.0,
